#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","131","2203404800000","9744384","8454144","8424","C:\Windows\System32\AggregatorHost.exe",,"49.375",,,,,"Process","8",,"False",,"4360","Microsoft.Win32.SafeHandles.SafeProcessHandle","131","7012",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8424","8424","8454144","8454144","76752","76752","14036992","14036992","23875584","23875584","111333376","2203429556224","True","Normal","8454144","8454144","00:00:10.6406250","AggregatorHost","15","True","0","System.Diagnostics.ProcessStartInfo","12/19/2025 10:47:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:49.3750000","00:00:38.7343750","86577152","2203404800000","False",,,,"9744384","9744384",,
"ApplicationFrameHost","24","507","2203582599168","38363136","19001344","28824","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","0.609375","10.0.19041.5794 (WinBuild.160101.0800)","10.0.19041.5794","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4352","Microsoft.Win32.SafeHandles.SafeProcessHandle","507","17136",".","66348","Sticky Notes","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28824","28824","19001344","19001344","425376","425376","22061056","22061056","39444480","39444480","279138304","2203597361152","True","Normal","19001344","19001344","00:00:00.2968750","ApplicationFrameHost","15","True","24","System.Diagnostics.ProcessStartInfo","1/3/2026 5:50:35 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6093750","00:00:00.3125000","264376320","2203582599168","False",,,,"38363136","38363136",,
"audiodg","0","299","2203446833152","44576768","35995648","19560","C:\Windows\system32\AUDIODG.EXE","Microsoft Corporation","50.234375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"4708","Microsoft.Win32.SafeHandles.SafeProcessHandle","299","10212",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","13021184","11812864","System.Diagnostics.ProcessModuleCollection","19560","19560","35995648","35995648","103208","103208","43782144","43782144","52576256","52576256","140750848","2203458973696","True","Normal","35995648","35995648","00:00:19.5156250","audiodg","15","True","0","System.Diagnostics.ProcessStartInfo","1/3/2026 7:55:50 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:50.2343750","00:00:30.7187500","128610304","2203446833152","False",,,,"44576768","44576768",,
"CalculatorApp","24","524","5217378304","2854912","47996928","39120","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe","Microsoft Corporation","0.453125","11.2508.4.0","11.2508.4.0","Calculator","Microsoft Calculator","Process","8",,"False",,"4540","Microsoft.Win32.SafeHandles.SafeProcessHandle","524","12724",".","131710","Calculator","System.Diagnostics.ProcessModule (CalculatorApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","39120","39120","47996928","47996928","682408","682408","48713728","48713728","59297792","59297792","927653888","5222621184","True","Normal","47996928","47996928","00:00:00.3125000","CalculatorApp","15","False","24","System.Diagnostics.ProcessStartInfo","1/3/2026 5:51:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4531250","00:00:00.1406250","922411008","5217378304","False",,,,"2854912","2854912",,
"chrome","24","719","2359075028992","188469248","249372672","42832","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","61.640625","143.0.7499.170","143.0.7499.170","Google Chrome","Google Chrome","Process","10",,"False",,"4344","Microsoft.Win32.SafeHandles.SafeProcessHandle","719","2764",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","42832","42832","249372672","249372672","1208816","1208816","412823552","412823552","218451968","218451968","1233481728","2359170527232","True","AboveNormal","249372672","249372672","00:00:13.2187500","chrome","15","True","24","System.Diagnostics.ProcessStartInfo","1/3/2026 5:53:11 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:01.6406250","00:00:48.4218750","1137983488","2359075028992","False",,,,"188469248","188469248",,
"chrome","24","445","2358506315776","56385536","27156480","32752","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","23.40625","143.0.7499.170","143.0.7499.170","Google Chrome","Google Chrome","Process","8",,"False",,"4520","Microsoft.Win32.SafeHandles.SafeProcessHandle","445","6264",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32752","32752","27156480","27156480","773200","773200","38014976","38014976","66052096","66052096","682450944","2358619496448","True","Normal","27156480","27156480","00:00:09.9531250","chrome","15","True","24","System.Diagnostics.ProcessStartInfo","1/3/2026 5:53:11 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:23.4062500","00:00:13.4531250","569270272","2358506315776","False",,,,"56385536","56385536",,
"chrome","24","292","3815793078272","175468544","132337664","27448","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","104.9375","143.0.7499.170","143.0.7499.170","Google Chrome","Google Chrome","Process","8",,"False",,"4140","Microsoft.Win32.SafeHandles.SafeProcessHandle","292","11132",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27448","27448","132337664","132337664","689720","689720","188940288","188940288","231911424","231911424","1890099200","3815821058048","True","Normal","132337664","132337664","00:00:09.1093750","chrome","15","True","24","System.Diagnostics.ProcessStartInfo","1/3/2026 5:53:11 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:44.9375000","00:01:35.8281250","1862119424","3815793078272","False",,,,"175468544","175468544",,
"chrome","24","519","3816006520832","444358656","345309184","54032","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","155.296875","143.0.7499.170","143.0.7499.170","Google Chrome","Google Chrome","Process","8",,"False",,"4532","Microsoft.Win32.SafeHandles.SafeProcessHandle","519","11488",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","54032","54032","345309184","345309184","1020584","1020584","585490432","585490432","695472128","695472128","2117476352","3816048435200","True","Normal","345309184","345309184","00:00:09.1875000","chrome","15","True","24","System.Diagnostics.ProcessStartInfo","1/3/2026 5:53:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:02:35.2968750","00:02:26.1093750","2075561984","3816006520832","False",,,,"444358656","444358656",,
"chrome","24","226","3814013829120","31150080","14082048","19032","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.03125","143.0.7499.170","143.0.7499.170","Google Chrome","Google Chrome","Process","4",,"False",,"4488","Microsoft.Win32.SafeHandles.SafeProcessHandle","226","11568",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19032","19032","14082048","14082048","706464","706464","15679488","15679488","32317440","32317440","83779584","3814014738432","True","Idle","14082048","14082048","00:00:00.0312500","chrome","15","True","24","System.Diagnostics.ProcessStartInfo","1/3/2026 8:08:30 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","82870272","3814013829120","False",,,,"31150080","31150080",,
"chrome","24","224","2306584944640","10252288","7090176","10600","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.015625","143.0.7499.170","143.0.7499.170","Google Chrome","Google Chrome","Process","8",,"False",,"3096","Microsoft.Win32.SafeHandles.SafeProcessHandle","224","11888",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10600","10600","7090176","7090176","180160","180160","7139328","7139328","10371072","10371072","212672512","2306610110464","True","Normal","7090176","7090176","00:00:00.0156250","chrome","15","True","24","System.Diagnostics.ProcessStartInfo","1/3/2026 5:53:10 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","187506688","2306584944640","False",,,,"10252288","10252288",,
